,yl,xl,method
365,179000,40,DQL
366,179000,40,DQL
367,177500,40,DQL
368,179000,40,DQL
369,179000,40,DQL
370,179000,40,DQL
371,179000,40,DQL
372,179000,40,DQL
373,179000,40,DQL
374,187200,40,DQL
375,177500,40,DQL
376,179000,40,DQL
377,179000,40,DQL
378,177500,40,DQL
379,179000,40,DQL
380,177500,40,DQL
381,179000,40,DQL
382,179000,40,DQL
383,179000,40,DQL
384,179000,40,DQL
385,179000,40,DQL
386,179000,40,DQL
387,179000,40,DQL
388,179000,40,DQL
389,177500,40,DQL
390,187200,40,DQL
391,179000,40,DQL
392,179000,40,DQL
393,179000,40,DQL
394,179000,40,DQL
395,179000,40,DQL
396,177500,40,DQL
397,179000,40,DQL
398,177500,40,DQL
399,179000,40,DQL
400,172000,50,DQL
401,172000,50,DQL
402,172000,50,DQL
403,172000,50,DQL
404,172000,50,DQL
405,170000,50,DQL
406,170000,50,DQL
407,170000,50,DQL
408,170000,50,DQL
409,172000,50,DQL
410,172000,50,DQL
411,172000,50,DQL
412,172000,50,DQL
413,172000,50,DQL
414,172000,50,DQL
415,172000,50,DQL
416,170000,50,DQL
417,172000,50,DQL
418,167600,50,DQL
419,172000,50,DQL
420,171600,50,DQL
421,172000,50,DQL
422,172000,50,DQL
423,172000,50,DQL
424,172000,50,DQL
425,172000,50,DQL
426,170000,50,DQL
427,172000,50,DQL
428,183200,50,DQL
429,172000,50,DQL
430,172000,50,DQL
431,170000,50,DQL
432,172000,50,DQL
433,138400,50,DQL
434,172000,50,DQL
435,172000,50,DQL
436,172000,50,DQL
437,185200,50,DQL
438,169200,50,DQL
439,169200,50,DQL
440,172000,50,DQL
441,172000,50,DQL
442,179600,50,DQL
443,172000,50,DQL
444,172000,50,DQL
445,172000,50,DQL
446,172000,50,DQL
447,172000,50,DQL
448,172000,50,DQL
449,132000,50,DQL
450,169600,50,DQL
451,172000,50,DQL
452,169200,50,DQL
453,172000,50,DQL
454,179600,50,DQL
455,172000,50,DQL
456,172000,50,DQL
457,172000,50,DQL
458,172000,50,DQL
459,170000,50,DQL
460,132000,50,DQL
461,172000,50,DQL
462,172000,50,DQL
463,172000,50,DQL
464,172000,50,DQL
465,172000,50,DQL
466,179600,50,DQL
467,132000,50,DQL
468,172000,50,DQL
469,172000,50,DQL
470,172000,50,DQL
471,172000,50,DQL
472,172000,50,DQL
473,172000,50,DQL
474,172000,50,DQL
475,172000,50,DQL
476,172000,50,DQL
477,172000,50,DQL
478,172000,50,DQL
479,172000,50,DQL
480,170000,50,DQL
481,172000,50,DQL
482,179600,50,DQL
483,172000,50,DQL
484,172000,50,DQL
485,179600,50,DQL
486,172000,50,DQL
487,172000,50,DQL
488,170000,50,DQL
489,172000,50,DQL
490,172000,50,DQL
491,172000,50,DQL
